index,latitude,longitude,city
274,42.5846773,-87.8212263,"WI, Kenosha"
275,42.3222599,-83.1763145,"MI, Dearborn"
276,41.6612561,-91.5299106,"IA, Iowa City"
277,32.7947731,-116.962526,"CA, El Cajon"
278,40.5863563,-122.391675,"CA, Redding"
279,33.5634402,-101.8792389,"TX, Lubbock"
280,35.269381,-106.632819,"NM, Rio Rancho"
281,47.6765382,-122.2070775,"WA, Kirkland"
282,30.4507936,-91.1391153,"LA, Baton Rouge"
283,30.3321838,-81.655651,"FL, Jacksonville"
284,33.9242688,-84.3785379,"GA, Sandy Springs"
285,33.9004572,-98.5020777,"TX, Wichita Falls"
286,39.8695516,-104.985181,"CO, Thornton"
287,27.7635302,-97.4033191,"TX, Corpus Christi"
288,35.6876096,-105.938456,"NM, Santa Fe"
289,38.5810606,-121.493895,"CA, Sacramento"
290,41.4673238,-82.1781904,"OH, Lorain"
291,32.7884363,-79.9399309,"SC, Charleston"
292,33.7690164,-118.191604,"CA, Long Beach"
293,28.8759024,-81.98457902636167,"FL, The Villages"
294,26.1223084,-80.1433786,"FL, Fort Lauderdale"
295,33.772179449999996,-116.49529769683983,"CA, Palm Springs"
296,48.0517429,-122.1768209,"WA, Marysville"
297,30.4380832,-84.2809332,"FL, Tallahassee"
298,35.0457219,-85.3094883,"TN, Chattanooga"
299,29.299328,-94.7945882,"TX, Galveston"
300,26.9342246,-80.0942087,"FL, Jupiter"
301,34.1476452,-118.1444779,"CA, Pasadena"
302,37.3688301,-122.036349,"CA, Sunnyvale"
303,34.539984,-112.468812,"AZ, Prescott"
304,35.7803977,-78.6390989,"NC, Raleigh"
305,41.878711,-71.3825558,"RI, Pawtucket"
306,33.9708782,-118.030839,"CA, Whittier"
307,40.6992918,-111.855583,"UT, Millcreek"
308,27.928463999999998,-82.2880507720744,"FL, Brandon"
309,38.98127255,-77.12335871396549,"MD, Bethesda"
310,41.7003302,-88.0717708,"IL, Bolingbrook"
311,39.7589478,-84.1916069,"OH, Dayton"
312,41.7688459,-72.6816303,"CT, Hartford"
313,26.0031465,-80.223937,"FL, Pembroke Pines"
314,43.1009031,-75.2326641,"NY, Utica"
315,40.735657,-74.1723667,"NJ, Newark"
316,41.0469042,-73.5420246,"CT, Stamford"
317,42.9033917,-78.7547536,"NY, Cheektowaga"
318,45.6794293,-111.044047,"MT, Bozeman"
319,28.0041425,-82.57021921991026,"FL, Town N Country"
320,45.1728923,-93.3023898,"MN, Coon Rapids"
321,41.083064,-81.518485,"OH, Akron"
322,39.8005505,-105.0811573,"CO, Arvada"
323,35.9556924,-80.0053176,"NC, High Point"
324,39.0924792,-94.4137923,"MO, Independence"
325,31.1171441,-97.727796,"TX, Killeen"
326,25.7148148,-80.2769765,"FL, University"
327,37.9577016,-121.2907796,"CA, Stockton"
328,40.1936892,-85.3865271,"IN, Muncie"
329,38.4404925,-122.7141049,"CA, Santa Rosa"
330,41.8239891,-71.4128343,"RI, Providence"
331,41.5910323,-93.6046655,"IA, Des Moines"
332,43.6166163,-116.200886,"ID, Boise City"
333,34.0007493,-81.0343313,"SC, Columbia"
334,34.7494749,-77.4208221,"NC, Jacksonville"
335,29.9899926,-90.1505426,"LA, Metairie"
336,29.5074538,-95.0949303,"TX, League City"
337,28.0394654,-81.9498042,"FL, Lakeland"
338,35.4094178,-80.5800049,"NC, Concord"
339,42.7337712,-84.5553805,"MI, Lansing"
340,35.2225717,-97.4394816,"OK, Norman"
341,35.613224,-77.3724593,"NC, Greenville"
342,45.4997475,-122.4309766,"OR, Gresham"
343,38.8838856,-94.81887,"KS, Olathe"
344,40.335345,-75.9279495,"PA, Reading"
345,42.8142432,-73.9395687,"NY, Schenectady"
346,37.5482697,-121.988571,"CA, Fremont"
347,32.44645,-99.7475905,"TX, Abilene"
348,44.0234387,-92.4630182,"MN, Rochester"
349,33.2095614,-87.5675258,"AL, Tuscaloosa"
350,33.7458511,-117.826166,"CA, Tustin"
351,43.1700264,-107.568534,"MI, Wyoming"
352,40.9312099,-73.8987469,"NY, Yonkers"
353,34.4776367,-87.3017331,"MA, Lawrence"
354,43.6610277,-70.2548596,"ME, Portland"
355,35.8460396,-86.3921096,"TN, Murfreesboro"
356,42.0447388,-87.6930459,"IL, Evanston"
357,36.3134398,-82.3534728,"TN, Johnson City"
358,48.23251,-101.296273,"ND, Minot"
359,32.6200973,-83.606568,"GA, Warner Robins"
360,37.9747645,-87.5558483,"IN, Evansville"
